Comment,Number
1:17 ils devraient mettre colère dans la nouvelle serie de dora l'exploratrice ou celle de la maison de mickey,3
Ça serait incroyable Wall-e si tu le fais,3
0:53 toy story 5 pas toy story 14,1
"J'adore comment la figure paternelle dans les dessins animées de ces dernières années est constamment rabaissée, dénigrant l'homme au rang de débile fini (là, carrément de macaque ne pensant qu'au foot et au cul...). Il serait grand temps d'arrêter cette propagande réductrice.",5
"Sinon comme d'hab Math, super vidéo ! :D",4
J'adore la parodie de blufey ( je crois que ça s'écrit comme ça ),5
Le hobbit,5
Un petit logan ferait plaisir svp,4
Le shippp 🤣🤣🤣,5
Le cinquième élément,5
Sixième sens,5
Faut continuer le hobbit,3
Beetlejuice,5
"Ce serait cool un film pour haloween. Un film d'horreur, j'ai vu quelqu'un proposer Le noces funèbres, dans le même genre et mood halloween on pourrait avoir pas mal de Burton ou Coraline. Monster house aussi",4
Waw j’ai regardé le 2 hier😱😱😱😱le hazard,1
Ce serait super d’avoir cars 1,5
Elementaire !! Je l'attend depuis un bout de temps maintenant 🙏,5
J’aimerais bien le film cars,4
Merci pour cette parodie tu es trop fort !!!,5
Tu peux faire descendent stppppp enfin c’est plus une série Disney mais on va dire que c’est un film..😅,3
8:34 😂,5
un retour génial des parodies,5
Un esprit ma bien dit que tu allais faire ca😂,5
Trop cool mec j'ai adoré 😂😂😂😂😂😂,5
Deadpool et Wolverine et t'as les 2 millions,5
la période de Beetlejuice me semble tout indique pour halloween non ?,2
Spider man acrostiche de spider verse,5
"´S’il te plaît, fait les autres Toy story.",5
Je propose Destination finale.,4
"Tu dis qu'une suite à Vice Versa n'était pas nécessaire, mais au contraire! Vu son concept original, Vice Versa est le film Pixar qui se prete le mieux à une suite, ça ne fait aucun doute. Une suite a permis de mieux explorer cet univers si riche! Et je ne suis pas déçue du résultat: Vice Versa 2 est un chef d'oeuvre , très émouvant et inventif, qui a parfaitement compris ce que son prédécesseur a instauré, et qui reprend le message très juste sur l'importance des nuances.",3
Deadpool 3 🙏🙏🙏,4
La vidéo été folle !!,1
"Bonjour moi j'aimerais bien voir comment tuer son boss 1et2  , lucy , Dibango,  target merci d'avance ? Cdt michael6606",3
"Eh merci! jai enfin compris pourquoi je suis sortie déééprimée apres avoir vu vice versa 2 avec ma fille! cest vrai que cest dark en fait et qu'à part envie, qui n'a aucun role, ya aucune emotion positive. Meme si ca se finit bien, moi le bad du film m'a pas quittée pendant des heures...😢.",5
6:42 avec ma mère on était plié en deux😂,5
Ça fait longtemps qu’on a pas vu la mère de Math😂,5
❤,5
Mission Cleopatre ouais !,5
Deadpool et wolverine pls,5
"Oui, trop contente que tu l'ai fait 🥳🥳🥳 Ca m'avait manqué les MSF  !",5
Un oss 117,4
La perruque de la mère lui va si bien,4
Deadpool 3 ou retour vers le futur 2,4
Beetle juice ca pourait être une dinguerie,3
et sinon merci pour ses video aussi creative et de qualité ca fait toujours plaisir !!!!,5
Mon voisin Totoro ❤,5
La voix d’ennui en VO a un gros accent français…,1
Alléluia c’est la reprise !!!!!!! ❤,5
Le seigneur des anneaux : les anneaux de pouvoirs 😍,5
Le Hobbit : la Desolation de Smaug 🔥,4
STP Teen Wolf the Movie 😂❤,5
Je viens littéralement de le finir à l'instant,5
Vivement Deadpool & Wolverine🫡,5
"Il livre un super message aux gosses ce film: ""Tous les gens qui vous entourent sont des ratés. Soyez un dictateur et tous les maux du monde seront résolus.""",5
Perso j'ai toujours sue qu enxieté c étais une beatch😂c est pour ça qu il n en pas dans ma tête ...,1
6:10 ho putain je la garde pour quand jaurai une gamine !,5
sa serait trop bien miss perigrin et les enfant perdue,3
"Je propose Sonic 2, tu peux nous faire un truc grave drôle avec ça !",4
"""Tu veux peut-être pisser tes premières règles par le nez."" Ha ha",2
Fast and Furious plsss,5
OSS 117 qui débarque avec le meilleur timing,5
Super comme sketch non mais vraiment la super👍,5
Sonic 2 ça serait cool !,4
La garder toute sa vie avec un mental de bébé ?,5
"En gros, ils en font une femme...",2
j'ai pas pu le regarder en entier (le film original) j'étais bcp trop gêné par les situations,2
"Je suis peut-être nulle mais j'ai pas encore vu vice versa 2 x) j'ai donc hésité à voir la vidéo, mais finalement j'ai cédé et ça ne m'empêchera pas de regarder le film :p je suis d'accord que les émotions montrées dans le 2 sont un peu caricaturale pour un ado, en effet il y a des émotions positives qui auraient pu être sympa à développer. Mais par contre je trouve ça bien d'avoir abordé l'anxiété dont souffre pas mal de monde, et malheureusement de plus en plus de jeunes :/. Les nouveaux souvenirs d'enfance de Riley en revanche, ont l'air d'avoir beaucoup moins d'impact que son ami imaginaire dans le 1 x) j'ai un peu peur que ce soit trop du réchauffé du 1 du coup ^^"". Sinon récemment j'ai vu Soul, et pour moi, ça c'est un des meilleurs Pixar. Par contre, je veux pas faire ma raclette, mais raël, c'est malheureusement pire qu'un gourou lunaire de secte, c'est surtout un p*dophile et un v*oleur ^^""",3
"Ptdr ça fait longtemps qu'un épisode n'avait pas été si drôle, c'est excellent",5
Tout les Shrek possible !!!,5
Le peuple réclame la souille à la Belgique 🇧🇪  façon ricaine !  Qu'attends tu pour Les Aventures de Tintin Le Secret de La Licorne de Spielberg ? 🍫,5
10:10 WOW! Super imitation!,5
Alerte rouge il porte bien son nom celui là,5
😅,5
NORD VPN oublie pas COBRA KAI NE MEURS JAMAIS,1
le 2 c'était vraiment un calvaire a regarder,2
encore une dingue😁😁😁,5
C'est moi ou y a trop de personnages ?,2
"Pirates des Caraïbes 5, docteur strange 2",5
Je l’attendais avec impatience celle-ci !!🎉,5
"Même sans avoir vu le film, j’ai trop rigolé. Merci Math pour ce souillage😭",2
Il nous faut une parodie au Voyage d’Arlo !,5
Stp fais Dune 2 grâce à toi j’avais mieux compris le 1 🙏🏻,3
30:00,1
14.00,1
34.33,3
J’ai regardé tous les MSF depuis le début et cet épisode est l’un des meilleurs j’ai rigolé tout le long de la vidéo. Merci Math 😂😂,5
"Continuer les seigneurs des anneaux, hobbits, indiana de jones, twilight",4
"Merci, c'était cathartique 🙏",5
Pourquoi pas un autre Miyazaki ?,1
Pas foufou cette vidéo. Hésites pas à utiliser les détails des films même si c'est pas le premier plan.,3
"Le père qui incite à la façon d'occuper le week end c'était complètement secondaire, mais le fait de s'arrêter momentanément dessus pour l'afficher, c'est le genre de souille appuyant sur les vices dans les films qu'on aime voir, en plus des interprétations qu'on peut se faire d'élément tendancieux ou avec sous-entendu. Ça ressemble à l'affichage du comportement de Peter Pan misogyne, les clashs pour notre époque, le contraste avec les considérations passées, c'était hyper critique, tellement vrai et dans la dérision d'ancien modèles insufflé dans le personnage.",3
"Surtout, fallait profiter d'Embarras, la cible parfaite de la souille avec la honte, ça pourrait presque être une mascotte.",4
Exceptionnel Matt !!,5
😂😂😂,5
Math ... Attend ... Tu sais tchiper ? Quelle belle surprise !😂😂😂,3
Astérix et Obelix mission cleopatre,4
Destination finale 2 !!!!!!!,5
la suite de transformers !!!!!!!,5
❤❤🎉🎉,5
"n’arrête jamais ce que tu fais par pitié, ton contenu est tout simplement incroyable",1
Deadpool et wolverine !!!,5
"Ah il était temps, top merci 😊",5
MA DOOOOSE !!!!!! Haaaa,1
Tu peu faire un film indien qui a bien marché,5
KGF / bahubali / Jawan / Leo,3
c'est toujours aussi incroyable,5
2.14 😂😂😂😂😂 la coupe de cheveux de Rael.,5
Élémentaire ça serait sympa 💧🔥🌬🌱,3
DRAGONS 2 ?,2
Enfin une nouvelles video de math,5
Deadpool & Wolverine ❤❤❤,4
Omg Anxiété est doublé par Dorothée Pousséo !!! <3 D:,1
Le peuple désire Deadpool et Wolverine 💛❤🙏🏼🙏🏼,5
"Va falloir Van Damme en guest à un moment, hein.",1
Hâte de voir un msf sur la série the punisher,5
et pourquoi pas... les huit salopards ?,1
Pirates Des Caraibes 5.,5
pour la prochaine video je te propose rio de bluesky 💙🦜🇧🇷,3
Orh mais c'est quoi ça 😂😅,3
On veut la suite de Twilight !!!,5
Deadpool et wolverine,4
Deadpool et Wolverine ce serait incroyable comme MSF !!!,5
"Toujours un régal, les costumes et l'interprétation... 👏",5
Pourquoi pas pirate des caraïbes 5   comme ça on finit la saga,5
Dedpol 3,3
Je repropose Hellboy. On t'a pas vu peint en rouge Math et je penses que le film te plaira 🙂,1
Resident evil bienvenue a racoon city,4
"2:02 ah il manque un passage sur les théories de genre, dommage ça aurait bien sa place surtout après le deuxième personnage.",3
"5:34 ah j'ai rien dis, ça y est.",5
Toujours géniaux comme toujours 😎. Pitié demande d’une fan dont les chef d’œuvres ne sont pas assez mis en avant ( ça va être bizarre dit comme ça mais ) SOUILLE la planète au trésor ou Atlantide par pitié ils sont jamais mis en avant 😢❤,5
Team Deadpool 3,4
Le Hobbit 2 par pitié ou sinon Alien 2,3
"13:27 c’était le meilleur moment pour caler un ""Oumar coach : non""",1
vu que le film beetlejuice 2 est au cinéma j’aimerais bcp te voir faire le premier film !! mon rêve te voir déguiser en lui 😂,5
Cette intro m’avait manqué 😂 0:03,1
"J’ai liker avant même de l’avoir vu, c’était un genre de reflexe 😂",5
Salut math ! Dit tu as déjà fais gatsby le magnifique ? J'avoue j'aimerais bien voir ton adaptation 😂 allez bye et merci ❤,5
Quand ce sera possible tu pourrais faire… Le Comte de Monte Cristo (dit avec une voix suave),3
10:12 j'ai chialer,1
Le toy story 14😂,4
Ouuuuuuuuuiiiiiiiiiii merciiiiiiiiiiiiiii,3
On peut avoir prince of persia,3
Ça serait bien de souiller bad boys ou star wars,3
A quand pirates des caraïbes 5?,1
Les Croods,4
Vidéo sympathique,4
Moi je voulais que tu fasse buzz l'eclair.      P.S pas de deadpool et wolverine j'ai pas encore vu moi.,2
Once Upon a Time in Hollywood,5
2:42 Cette tête ah ah 😂,5
Tu peux faire dead poul et vaulverin comme film stp,3
Premier degrés J'AI PLEURER DEVANT LE FILM 🥹,3
Jurassic World 3 STPPPPPPPPPP,4
Deadpool et Wolverine ce serait trop cool,3
Salut Math ! Cela fait un moment que je me suis dit que tu pourrais très bien interpréter Blade.,5
Je ne sais pas ce que tu en penses et je ne sais pas ce qu'en pense la communauté.,2
Je croise toujours les doigts et espère qu'un jour cela arrive,5
Merci math😂😂😂,5
MEGAMIND SVP😌,5
"""Toy Story 14"" xDDD",4
"Trop marrant, cet épisode est vraiment génial 🤣",5
Merci beaucoup et bravo 😍,5
"En vrai perso je pensais que le second volet allait être nul et qu'ils n'avaient juste plus d'idées, mais je l'ai trouvé magnifique, la progression du personnage et de l'image qu'ils en font dans sa tête est impressionnante 😍",5
le meilleur MSF je pense !,5
"""tu veux pisser tes règles du nez ?"" m'a terminé 🤣",1
Mythique comme d'hab,5
Speak no evil un jour j’espère 🤞 😊,5
Tous simplement génial 👍🏻 comme d’habitude 😂,5
Ou Les Trolls 3,5
Moi j'aimerais MEGAN,5
Pirate des Caraïbes 5 !!!!!!!,5
Le hobbit 2,5
je l'attendais cette vidéo !! :0,3
dommage qu'il n'y ait pas eu de costume pour les autres émotions (au moins pour anxiété..),3
"Ramène nous le super nord vpn, il me manque 😢😢😢😢🎉❤",3
Ça serait tellement drôle Deadpool X wolverine ( continue les vidéo mon reuf 👍),1
Ça choque que moi que Disney parle de la sexualité dun enfant dans un film pour enfants?,2
Mec stp fais les autres kung fu panda pls 😢😢😢 😂,5
Ou est mon chocolat? Ca fait quand même 3/4 ans que je suis abonnés quoi...................,1
"La ref de Raël, j'adore 😂😂😂",5
Tu peux faire Qui veut la peau de Roger Rabbit stp c'est un des plus grand chef d'oeuvre du cinéma et c'est mon film préféré,5
Ehhh je me demandais quand il allait faire Vice Versa 2 !! Trop bien 💪🏻,2
Pourquoi pas Les Films Pat patrouille,1
Je suis sûr Il y'a du potentiel à faire dessus,3
"Un film ou dessin animé français. Ça ferait plaisir, pour une fois...😒",4
Deadpool 3 ou la suite du Hobbit ❤❤,4
"Cette vidéo donne une autre vision du film mdrrr. À un entretiens imaginez s’il fallait juste dire ""je suis qqn de bien"" ça a peut être marché pour Dora mais pas dans la vraie vie🤣. J’ai regarder la princesse et la grenouille il y a pas longtemps, c’est un autre disney mais quand même !",3
"Oh bordel, je KIFF le peur revisité 😂😂😂",1
"Comment j'ai trop trop rigolé, j'ai passé un trop bon moment 😊Et effectivement, le père est guez.",2
OSS 117,4
Walle E s'il vous plaît,5
Masterclass😂,5
"Continuer la saga de John Wick, ou madame web ça peut être pas mal",4
Iron man 2,5
Je suis là seule à vouloir les dragon 😭😭 et jurassic park😅,5
Ça nous avait manqué.,2
Gg,5
Le compte de monté cristo,5
Deadpool 3 maintenant c'est vraiment celui qu'il nous faut c'est le moment 😂,5
J’adore c’est trop bien comme toujours 🫶🏻,5
"Moi je trouve intéressant vice versa, ça nous apprends quelques truc",3
Fatal serait très drôle,1
Je trouve dommage de passer le milieu du film qui montre une évolution normal d'un adolescent actuel. Il y avait de quoi faire de vanne dessus.,3
Toujours aussi drôle.,5
Il nous faut le dernier épisode de Twilight !!!,5
"Salut Math,",5
Tu pourrais faire sur les animaux fantastiques 3 stp,5
Rien à déclarer,5
Ballerine plz,4
J'attends toujours la parodie de Spies in disguise 😂,5
Voilà la c’est le 200eme msf,5
"9:54 ""les secrets enfuis ou enfouis de Riley"" ? ;)",1
10:09 Je suis en fou rire JPP,1
Les noces funèbres ! idéale pour halloween !,5
Est-ce que tu peux aussi faire des séries ??,3
Deadpool et Wolverine ça serait incroyable,5
😊😊😊,5
dracula !,5
10:52 Peur qui devient soudainement Jojo Bernard mdr,1
Non mais masterclass cet épisode❤,3
J'attendais cette vidéo depuis hyper longtemps,3
Oss 117 mettez un j'aime si vous voulez un msf de cette masterclass!,5
Merci pour ton travail ! ❤😂😊,5
"""c'est ça fous moi le camp Tahiti Bob"" je suis à terre 🤣",5
Moi j'en connais bcp des gens où c'est ennui anxiété et dégoût qui règne,2
Vice versa est un excellent film que je recommande à tous. Larmes aux yeux assuré,5
3:26 je suis morte de rire j'en peux plus😂😂😂,1
Math je ou on voudrais bien deadpool et wolverine stp.,3
"Pour l'amour de dieu "" strarship Troopers!!!!!""",5
Toi en insecte mutant tueur 🎉🎉🎉,1
Le hobbit la désolation de Smaug et la bataille des 5 armées,4
3:26 😂😂😂😂😂😂😂,3
Légendaire,5
"La suite de ""Le Hobbit"" si c'est possible.",3
"Le tchip de Dégout était légendaire au début de la vidéo, continue comme ça Math, ton humour est inégalable",5
Ace-ventura😊,5
Spider Man 1 sam raimi,5
à mourir de rire cette vidéo ahahahah,1
J'aimerais trop un retour de ghibli pour les parodies avec le derniers film de Miyazaki le garçons et le héron et une parodie de totoro et kiki la petite sorcière je pense qu'il y a matières à faire quelques chose de très drôles 😂,3
le comte de monte cristo,5
Kuzcooooooo😊,5
Deadpool et wolwerine sa serait incroyable ( sauf pour ta santé mentale 😂😂),3
Le jeu de mots avec rael je l’ai tellemtn vu venir quand j’ai vu les croyances mais ça m’a tué 🤣❤,3
Décidemment cet homme aura un prime infini,4
Five nights at freddy's,5
je veu: Deadpoll et Wolverine,3
"J'aimerais bien voir MATH se fait: ""La Planète des Singes""",4
Pour ma part:,4
ghost rider 2,4
Deadpool × wolverine,4
Kung fu Panda 2,5
Mon voisin totoro,5
Madagascar,4
Les noces funebres,5
Oss 117,4
Et.........c déjà bien jsp,4
Il faut à tout prix que tu fasses Deadpool et Wolverine !,5
Tahiti Bob ! 🤣,5
Pisser ces premières règles par le nez ! MDR,5
Alien romulus !,5
Oui trop cool prochain deadpool,4
trop bien la video,5
Hâte de voir cette vidéo ! 😃,5
Deadpool & wolverine,4
ENFIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIN UNE PARODIE,5
J'adore ton humour continue et n'arrête pas 😂,5
Comme prochain MSF je suggère Predator!,5
J’ai envie que tu fasses le comte de monte cristo 🥹,5
"Le dernier samouraï s'il te plaît 🤩 Ça y est je me suis préparé a le voir parodié, tu peux y aller",5
"J'ai adoré cette vidéo, énorme travail, bravo !",5
Y’a vrm que moi qui aime triste,5
Deadpool et Wolverine,4
"Énorme soutien à la famille de PHILIPPINE, violer et assassiné par un barbare Marocain sous OQTF.",5
Math il faut que tu termine Twilight fait le dernier je t'en supplie 🙏🏾🙏🏾,3
J'ai sauté sur la notification,1
Le goat a post 💕,5
"10:06 ""Si j'étais pas en taule, Riley serait folle"" 💀 ""à qui tu parles ? à mes amis"" Purée il m'a tuée de rire ce passage 😭🤣 je m'y attendais tellement pas 😭 (et l'émotion Nord VPN c'est pour m'achever ?)",1
Deadpool 3 sa peut être une dinguerie,3
Fait nous la menace fantôme Please ou alors continue la saga fast and furious j’attend tellement que tu continue ces 2 saga,5
"Le même jour que je vais voir vice-versa 2 il y a la parodie de math, ça ne pouvait pas mieux tomber 👌🏻❤",3
"Pour le prochain épisode, fais le 2e film de Sonic stp😉👍🙏🦔🔵",4
Oss 117 stp,3
Te revoilà le ghot like c t'es d'accord,2
Tahiti bob 😂😂😂,5
Terrifier,5
Pour le prochain MSF  tu pourrai faire deadpool et wolverine,4
Je sais pas pourquoi mais je pense que t'as beaucoup aimé incarner colère dans cet vidéo 😂,3
Bientôt les 2 millions bravo 🎉,5
Beetlejuice,5
"Finir une saga comme Jurassic World, ou Aquaman 2 ou The Flash",5
Je pense qu'il y a du potentiel 😂,3
Jurassic world 3 ca serait bien,3
Un des films transformers,5
"Apparemment les enfants ont détesté Anxiété, mais nous aussi on la déteste vous inquiétez pas mdr c'est une bonne image de ce qu'est la vie d'adulte",3
Épisode pas mal mais je m’attendais à mieux :(,3
J’ai passer un bon moment quand même,4
"Vice & Versa 2, un incroyable film, et un super msf",5
10:15 Dans le film il dit vraiment ça où il a embauché l’acteur qui fait la voix pour refaire le doublage ?😅,2
Je voulais tellement celui là merci ❤ perfection 🎉,5
Un barbie svppp! Barbie Le palais de diamant,5
"Le "" j'suis en securité euh, j'suis avec mes amis euh"" de peur m'a terminé 🤣",3
Je veux trop the Boys❤,3
13:07 C’est ça fous moi le camp TAHITI BOB 😂😂,5
"""Tu veux peut-être pisser tes premières règles par le nez"" 😂",1
Faut faire inglorious bastard ! Ce film est incroyable !,1
13:06 😂😂fou moi le camp taiti bob😂😂,1
Prévoit deadpool et wolverine stp,3
Le comte de MonteCristo en parodie ça pourrait être top,4
Neuil,5
J'aime trop ce que tu fais math,5
J'attendais avec impatience de voir math déguisé en anxiété...,2
"même pas 2 minutes de vidéo je me tape la barre de la semaine, t'es vraiment unique en ton genre, math🤣🤣",2
"Le Bon, la Brute et le Truand pourrait être sympa à parodier",3
La Demoiselle et le Dragon SVP😊,5
Super vidéo 😂,5
J'adorerais que la trilogie Hobbit soit terminée,5
La Demoiselle et le Dragon SVP😊,5
La Demoiselle et le Dragon SVP😊,5
La Demoiselle et le Dragon SVP😊,5
La Demoiselle et le Dragon SVP😊,5
La Demoiselle et le Dragon SVP😊,5
La Demoiselle et le Dragon SVP😊,5
Tron Legacy,5
La Demoiselle et le Dragon SVP😊,5
La Demoiselle et le Dragon SVP😊,5
La Demoiselle et le Dragon SVP😊,5
Tahiti Bob mdr l'anxiété,3
touche pas a buzz l'eclair !!,1
"""Tu veux peut être pisser tes premières règles par le nez"" BAHAHA j'ai besoin d'air 🤣",2
Cette phrase fait désormais partie de mon cerveau à tout jamais !!!,1
La Demoiselle et le Dragon SVP😊,5
Je veut trop avoir Deadpool et Wolverine,2
On espère Transformers One dans quelques mois,3
Super Vidéo!!!!!,5
"fais une souille du film ""Independance day""",5
Jadore 😂👌,5
Merci gros j'ai ris,5
Je t'en prie souille Hunger Games 3 partie 1 ou le dernier Twilight please...,3
Moi je dit à quand deadpool 3,3
Math il faut finir la trilogie des Deadpool maintenant que le dernier est sorti stp,3
Pourquoi pas Beetlejuice 🤔,1
oui oui oui je l'attendais,3
Je t'aime,2
en v2v les Affranchis ce serait pas mal de te voir en pesci,3
jurassic park,4
"Mon voisin Totoro, ça fait très longtemps que je l'attends 😁",5
Tu as oublié de citer Soul en début de vidéo...,3
Pacific rim se serait incroyable,2
❤❤❤ 😂 merci d'avoir rajouté une petite tranche de rire à mon croc monsieur,5
"ALORS : fun de ouf évidemment, j'ai adoré, mais attention ! Riley est pas cinglée, et ça serait dommage que des gens qui se reconnaissent en elle le pense. Si vous parlez un peu anglais allez voir l'épisode de Cinema Therapy qui en parle !",3
6:05 badass la phrase,1
"Salut, tu peux faire alien romulus stp🥺, j'adore ce que tu fais et continue comme ça.",5
Un petit film de tim burton genre beeteljuice ou les noces funèbres,3
Ont peut avoir les parodie de wish et de alerte rouge,3
tes vidéo sont toujours génial😄 et pour le prochain pourquoi pas deadpool vs volverine,5
"Franchement, pour être franc, étant donné que ""Jurassic World : Le monde d'après"" n'a pas encore eu droit à une parodie à ta propre sauce (puisque t'as déjà fait J""urassic World"" et ""Jurassic World : Fallen Kingdom"", ce serait l'occasion parfaite de faire le troisième et dernier volet de cette trilogie (si on exclue Jurassic World Rebirth prévue pour 2025) !🤞🤞🦕🦕🦖🦖",4
Sans aucun doute un des meilleurs MSF de 2023/2024,5
Deadpool et wolverine stp,5
bonne video,4
"J'avais peur que tu arrêtes les parodies! Trop contente de voir cette vidéo, merci!",1
J'aimerais beaucoup une parodie du dernier Twilight ou Beetlejuice 2!,5
"Merci !!! Je lai vu hier , ça tombe hyper bien 😂",5
Il nous faut la suite du Hobbit Math !!!,5
"Tant qu’on est dans les Pixar, pourquoi pas Cars ?",5
THE MASK,5
franchement se serait géniale de faire les cinq légendes 😁,5
"The Fall Guy, OSS 117, Across the spider-verse, Deapool et Wolverine",5
qui l'attendais avec impatience✋,5
Encore une fois Nord Vpn inutile d'un point de vue de la sécurité,1
😂❤😂,5
il faut que tu fasses un msf sur deadpool c'est pas possible de passer à côté de ça,3
Je suis le seul à avoir remarqué une certaine bague au doigt ?,2
OUIIIIIIIIIIIIIIIIIIIII MERCIIIIIIIIIIIIIIIIIIII  tu régale nos vendredi,5
"""Tu veux pisser tes premières règles par le nez"" Alors là... on est au-delà du génie! Merci pour ce fou-rire !",5
Deadpool et wolverine quand tu pourra sinon Spiderman premier du nom ce serait un banger,3
"Après toutes ces années, j'ai toujours pas reçus mon chocolat.. Mais j'ai eu le droit à une parodie de Vice Versa 2 de la part de Math !",5
- Le monde perdu jurassic park,5
- La planète des singes : les origines,4
- Jurassic world 3,4
- Venom 2,5
- Shrek 2,3
- Les rebelles de la foret,5
- Les rois de la glisse,5
- Aquaman 2,4
- Ratchet et clank,4
- Gang de requins,3
J'oubliais Le hobbit la désolation de Smaug et Kung fu panda 2.,5
Le dernier twilight stp :'),5
Sherlock holmes 1 réalise par Guy Ritchie 👌🏽👌🏽👌🏽,4
Mrc j'avais demandé vice versa 2,3
Trop drôle,1
"Ahhhh enfin, j'attendais qu'il le fasse 🎉",3
6:09 j'avoue j'ai craché mon thé,1
"Pourriez-vous faire La voleuse de livres, Donjons et dragons : l'honneur des voleurs, Paddington, Dora et la Cité perdue ou un Astérix?",5
"ENFINNNN,MERCI MATH",5
Coucou maths tu pourrais faire la nonne 2 sil te plait ca m'avait manqué l'horreur!,3
je lance a peine la vidéo like et commentaires direct!,1
Le dernier  Twiligth bitch ❤,1
Shang-chi,3
Interstellar ça serait fou !,3
Les noces funèbres,5
"Et y a moi qui suis dans la team ""BOF"" concernant VICE VERSA xD Il est sympa, mais sans plus pour ma part. Clairement pas le dessin animé que j'ai envie de me refaire en boucle, et c'est rare xD Donc le 2, je vais me contenter de ce superbe résumé, il me va très bien xD",3
Tu peux faire Forrest Gump stp 🙏🙏,5
J'aimerai le dernier film de Twilight,5
Caroline,4
Le diable s habille en prada,1
Twilight 5,5
La prochaine video quand Riley sera adulte 🔪🔪 😂🤣,4
"Ouais, bas j'ai bien fait d'aller voir Garfield à la place de ce truc...",2
J'aimerais trop voir Maths faire The Truman Show.,3
En fait le père de rheiley c'est Staline.,5
S'il te plaît fait pacific rim,2
Très marrant! Film pas fou par contre aha,1
Donne moi des bonbons 🍬,5
Sa serait génial d'avoir Deadpool et Wolverine,4
6:08 Tu veux peut-être pisser tes premières règles par le nez chérie  .🤣🤣,3
Math se serait possible que tu fasse deadpool x wolverine pour le prochain MSF et sinon j'ai une question pourquoi tu ferait pas les films x-men je pense réellement que sa serait incroyable bonne chance pour la suite.,3
Jurassic World : Dominion,5
"c'est quoi ces stats de merde... Je suis trop deg pour math, seulement 20 k  vues après une heure, il mérite pas ça.",2
Un PETIT Astérix Obelix Mission Cléopatre serait parfait !,5
Qui Vote pour que MATH souille Les Bad Guys et se redeguise en animaux ?! ✋️,1
Continuer une saga que tu as déjà commencer : retour vers le futur.....,5
Scream 5,5
Avec ses idées ils vont nous sortir un vice versa 3,5
Moi je veux cars 2,5
Je l’attendais avec impatience,5
"Enfin le 200e épisode est là, depuis le temps qu’on l’attendait",5
3:27 mais mec fais oss 117 je viens de me rendre compte que t’en as fait aucun,1
Enfin ce concept est de retour 😂,5
J'adore vice versa 2😊avec anxiété et dégoût et joie et tristesse 😊😊😊avec math se fait des films 😊😊😊tu peux faire elementaire disney,5
Fait deadpool 3 stp,5
"Jsuis en sécurité euuuuhh, Jsui avec mes amis euuuuhhhh",5
"Pour moi, le prochain episode c'est l'évidence même : il faut que tu fasses deadpool 3",3
Un petit Deadpool 3 pour le prochain MSF,4
Deadpool & Volverine stp !!!,5
Pépite as always 😱😗👌🏻,5
YES PTN MERCI MATH JE VENAIS JUSTE DE REREGARDER LE PREMIER EN PRIANT POUR QUE TU FASSE LE 2 MERCIIII,5
J’aurai bien aimé revoir super norvpn,5
"Je lance la vidéo, je sens que sa va être un bangeur",1
Est ce que tu peux faire un MSF sur Le sixieme sens de 1999 avec Bruce Willis ?,3
À 2:15 c'est Sylvain Duriff où?😂😂😂😂,1
Le Comte de Monte Cristo 🗡️,5
10:12 cette phrase est vraiment dans le film ou c est math qui la rajouter ?💀💀,1
Spiderman accros the spiderverse,5
L'humour de math me remonte le moral 😊,3
❤merci,5
la reference à oss 117 je l'ai pas vue venir 😂,1
J’aimerais trop ghostbuster 😮 j’ai toujours voulue que tu la fasse,5
"Encore un banger, ça va devenir un classique",5
Math fait un MSF sur Seven.,5
taytibobe 😱😱😱😱,5
ah j'avais tellement hâte à un nouvel épisode !!!!!,5
"Oui enfin ça fait 10 fois que je regarde le film, j’en ai marre de pas avoir de parodis",5
Toy story 14 😂😂,4
En vrai Transformers 2 serait incroyable,5
Incroyable,5
Je l'ai vu au cinéma et il est génial,5
J’ai hésité à cliquer pour ne pas être spoilée mais en vrai j’ai bien fait!,4
"Trop drôle, j’avais déjà mes doutes avec certains aspects du 1 mais là pour le 2 Pixar/Disney ils se sont chié dans leur froque",2
tu peux faire stp la série invincibles ou bien the boys ou bien tout les deux,3
Avec cette belle crête il nous plus qu'un épisode sur cobra kai et on aura tout gagné,5
Fais Twilight la suite stppppp 😢🫶🏻,5
"Pas déçu, très bon épisode, vraiment. Pour une prochaine parodie tu voudrais pas faire le disney le plus sous-coté, j'ai nommé, la planète au trésor stp.",5
Les Noces funébres !,5
"Une mariée cadavérique, un mari complètement perdu et poursuivi, des chansons qui vont faire tourner en bourrique Math !",5
Que demande le peuple ?! ❤,1
3:26 en 3min 30 t a réussi à me tuer  😂😂😂👏,1
"Tu as tellement raison, d'un chiant ce dessin animé. J'ai été le voir av ma fille roh la mort. Ridicule, ils auraient en effet du s'arrêter au 1er. Énormes tes vidéos j'adore",5
La meilleurs notif du vendredi soir ! Perso j'attends toujours le résumé de Dragons 2 XD,5
"Ils confondent émotions et sentiments, je crois que anxiété est un sentiment (qui dure dans le temps et est plus complexe qu'une émotion instinctive je crois).",4
Animeaux fantastic 3,5
Maintenant faut Deadpool & woleverine je veux revoir ce costume,3
me voici me voilà,3
DEADPOOL & WOLVERINE,4
high school musical 2,4
Aussi bien que la première 😊,5
